fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
1987-2,76,22.8(11),7,77.0,0.0,0.0,5.5,1027.7(08),0.0,1013.6,1013.0,4.8,21.0(28),10.4,0.0,0.0,3,28/13.9(19),3.0,18,51.0,0.0,10.0,-3.5(20),251.0,91.0,0.0,0.0,362.0,94.1,11.0,1.0,9.0,3.0,6.6,0.0,9.1,13.4,0.0,989.1(12),10.0,
1987-3,76,22.5(20),7,76.0,0.0,1.0,5.0,1024.2(01),,1016.7,1016.1,6.8,25.5(02),10.5,0.0,0.0,2,,1.0,20,42.0,,11.0,2.4(16),248.0,102.0,0.0,0.0,534.0,37.6,13.0,1.0,13.0,0.0,9.4,0.0,11.0,15.1,0.0,1005.8(19),5.0,
1987-4,76,3.3(03),6,76.0,0.0,0.0,7.4,1026.8(15),0.0,1016.9,1016.3,8.8,22.5(27),12.8,0.0,0.0,4,27/13.1(04),0.0,20,55.0,0.0,3.0,5.0(04),,123.0,0.0,0.0,621.0,5.6,5.0,0.0,15.0,0.0,14.5,0.0,13.4,18.0,0.0,990.0(03),2.0,
1987-5,76,22.2(16),4,72.0,0.0,0.0,8.7,1021.0(30),0.0,1015.3,1014.7,10.5,24.0(29),15.0,0.0,0.0,7,24/15.0(30),3.0,20,60.0,0.0,7.0,6.6(04),,132.0,0.0,1.0,755.0,52.0,9.0,0.0,14.0,0.0,14.4,0.0,15.1,19.6,0.0,1007.9(15),5.0,
1987-6,76,28.4(08),1,72.0,0.0,0.0,10.4,1024.0(16),1.0,1016.9,1016.3,14.4,27.4(30),18.0,0.0,0.0,7,25/18.1(15),1.0,22,68.0,0.0,6.0,8.0(16),225.0,175.0,0.0,0.0,,33.7,6.0,1.0,12.0,0.0,20.5,0.0,19.0,23.7,0.0,1006.3(14),4.0,
1987-7,76,29.0(20),5,71.0,0.0,1.0,9.0,1021.0(27),0.0,1015.1,1014.5,18.5,31.0(17),22.4,3.0,0.0,7,08/13.1(17),2.0,19,61.0,0.0,7.0,14.2(01),,212.0,0.0,0.0,886.0,49.7,8.0,2.0,11.0,0.0,21.5,0.0,23.0,27.4,0.0,1003.0(17),4.0,
1987-8,76,2.6(23),4,72.0,0.0,1.0,8.9,1019.7(28),1.0,1014.8,1014.2,18.9,32.5(15),22.5,6.0,0.0,10,08/15.3(27),0.0,17,65.0,0.0,3.0,15.6(25),238.0,221.0,0.0,0.0,889.0,3.6,6.0,1.0,12.0,0.0,23.5,0.0,23.6,28.3,0.0,1002.7(24),1.0,
1987-9,76,69.4(30),1,75.0,0.0,0.0,8.2,1023.4(18),,1017.1,1016.5,18.5,30.5(19),20.6,3.0,0.0,8,,2.0,21,65.0,,3.0,16.2(30),,220.0,1.0,0.0,,97.6,4.0,4.0,12.0,0.0,21.8,0.0,23.3,28.0,0.0,1002.6(26),3.0,
1988-10,76,12.2(11),7,80.0,0.0,2.0,4.9,1022.6(20),3.0,1015.7,1015.1,14.0,26.8(07),20.6,0.0,0.0,3,06/23.1(15),1.0,21,44.0,0.0,8.0,8.5(20),276.0,170.0,0.0,1.0,621.0,33.3,13.0,3.0,13.0,0.0,19.2,0.0,18.5,23.0,0.0,1006.2(19),7.0,
1988-11,76,45.6(12),6,75.0,0.0,1.0,4.1,1026.2(28),3.0,1019.1,1018.5,8.2,20.6(02),16.0,0.0,0.0,5,34/18.1(12),5.0,19,42.0,0.0,9.0,-1.2(24),289.0,116.0,1.0,0.0,460.0,120.7,11.0,2.0,12.0,5.0,11.0,0.0,12.7,17.2,0.0,1001.9(30),8.0,
1988-12,76,0.1(01),0,65.0,0.0,0.0,6.2,1036.0(30),1.0,1023.7,1023.1,3.3,17.2(06),7.0,0.0,0.0,14,36/22.8(20),0.0,17,67.0,0.0,1.0,0.4(19),327.0,75.0,0.0,0.0,665.0,0.1,1.0,0.0,12.0,0.0,10.6,0.0,8.9,14.5,0.0,994.0(01),0.0,
1988-13,76,45.6(12/nov),50,73.0,1.0,10.0,6.9,1036.0(30/dic),,1016.2,1015.6,10.7,32.4(03/ago),23.4,14.0,0.0,92,,13.0,224,57.0,,67.0,-1.5(27/feb),,144.0,3.0,3.0,8555.0,426.0,88.0,22.0,13.0,10.0,9.0,0.0,15.7,20.7,0.0,994.0(01/dic),48.0,
1988-1,76,3.6(06),4,76.0,0.0,0.0,4.9,1029.0(09),0.0,1015.6,1014.9,3.6,16.0(15),6.4,0.0,0.0,13,34/13.3(23),0.0,14,51.0,0.0,2.0,0.8(01),312.0,87.0,0.0,0.0,479.0,4.7,3.0,0.0,12.0,0.0,9.0,0.0,8.8,13.9,0.0,995.5(29),2.0,
1988-2,76,0.3(29),0,64.0,0.0,1.0,7.3,1027.5(21),,1017.3,1016.7,3.8,21.6(05),8.5,0.0,0.0,8,,0.0,21,69.0,,1.0,-1.5(27),,79.0,0.0,0.0,838.0,0.3,1.0,0.0,14.0,3.0,11.0,0.0,9.5,15.1,0.0,1002.6(06),0.0,
