Total Nacional;Comunidades y Ciudades Autónomas;Origen del agua;periodo;Total
España;Castilla-La Mancha;Aguas superficiales;2002;1.815.536
España;Castilla-La Mancha;Aguas superficiales;2001;1.749.057
España;Castilla-La Mancha;Aguas superficiales;2000;1.541.213
España;Castilla-La Mancha;Aguas subterráneas;2018;871.985
España;Castilla-La Mancha;Aguas subterráneas;2016;1.050.739
España;Castilla-La Mancha;Aguas subterráneas;2015;880.675
España;Castilla-La Mancha;Aguas subterráneas;2014;818.160
España;Castilla-La Mancha;Aguas subterráneas;2013;985.251
España;Castilla-La Mancha;Aguas subterráneas;2012;1.041.198
España;Castilla-La Mancha;Aguas subterráneas;2011;992.150
España;Castilla-La Mancha;Aguas subterráneas;2010;1.319.839
España;Castilla-La Mancha;Aguas subterráneas;2009;1.639.523
España;Castilla-La Mancha;Aguas subterráneas;2008;1.314.654
España;Castilla-La Mancha;Aguas subterráneas;2007;1.396.447
España;Castilla-La Mancha;Aguas subterráneas;2006;1.444.841
España;Castilla-La Mancha;Aguas subterráneas;2005;1.371.887
España;Castilla-La Mancha;Aguas subterráneas;2004;538.485
España;Castilla-La Mancha;Aguas subterráneas;2003;270.995
España;Castilla-La Mancha;Aguas subterráneas;2002;252.340
España;Castilla-La Mancha;Aguas subterráneas;2001;161.451
España;Castilla-La Mancha;Aguas subterráneas;2000;290.539
España;Castilla-La Mancha;Otros recursos hídricos;2018;7.221
España;Castilla-La Mancha;Otros recursos hídricos;2016;12.077
España;Castilla-La Mancha;Otros recursos hídricos;2015;10.540
España;Castilla-La Mancha;Otros recursos hídricos;2014;10.820
España;Castilla-La Mancha;Otros recursos hídricos;2013;12.584
España;Castilla-La Mancha;Otros recursos hídricos;2012;13.699
España;Castilla-La Mancha;Otros recursos hídricos;2011;12.225
España;Castilla-La Mancha;Otros recursos hídricos;2010;11.980
España;Castilla-La Mancha;Otros recursos hídricos;2009;11.435
España;Castilla-La Mancha;Otros recursos hídricos;2008;0
España;Castilla-La Mancha;Otros recursos hídricos;2007;0
España;Castilla-La Mancha;Otros recursos hídricos;2006;5.969
España;Castilla-La Mancha;Otros recursos hídricos;2005;0
España;Castilla-La Mancha;Otros recursos hídricos;2004;0
España;Castilla-La Mancha;Otros recursos hídricos;2003;16.979
España;Castilla-La Mancha;Otros recursos hídricos;2002;0
España;Castilla-La Mancha;Otros recursos hídricos;2001;0
España;Castilla-La Mancha;Otros recursos hídricos;2000;104
España;Cataluña;Total;2018;1.162.260
España;Cataluña;Total;2016;1.317.500
España;Cataluña;Total;2015;1.250.230
España;Cataluña;Total;2014;1.375.600
España;Cataluña;Total;2013;1.520.354
España;Cataluña;Total;2012;1.728.268
España;Cataluña;Total;2011;1.682.310
España;Cataluña;Total;2010;1.635.779
España;Cataluña;Total;2009;1.677.164
España;Cataluña;Total;2008;1.756.753
España;Cataluña;Total;2007;1.801.104
España;Cataluña;Total;2006;1.906.770
España;Cataluña;Total;2005;1.690.818
España;Cataluña;Total;2004;2.261.323
España;Cataluña;Total;2003;1.980.704
España;Cataluña;Total;2002;1.840.812
España;Cataluña;Total;2001;2.410.332
España;Cataluña;Total;2000;3.593.261
España;Cataluña;Aguas superficiales;2018;941.431
España;Cataluña;Aguas superficiales;2016;1.096.160
España;Cataluña;Aguas superficiales;2015;1.002.500
España;Cataluña;Aguas superficiales;2014;1.122.192
España;Cataluña;Aguas superficiales;2013;1.334.186
España;Cataluña;Aguas superficiales;2012;1.525.487
España;Cataluña;Aguas superficiales;2011;1.557.620
España;Cataluña;Aguas superficiales;2010;1.603.923
España;Cataluña;Aguas superficiales;2009;1.658.060
España;Cataluña;Aguas superficiales;2008;1.740.135
España;Cataluña;Aguas superficiales;2007;1.788.464
España;Cataluña;Aguas superficiales;2006;1.893.186
España;Cataluña;Aguas superficiales;2005;1.667.066
España;Cataluña;Aguas superficiales;2004;2.248.595
España;Cataluña;Aguas superficiales;2003;1.933.673
España;Cataluña;Aguas superficiales;2002;1.792.639
España;Cataluña;Aguas superficiales;2001;1.961.930
España;Cataluña;Aguas superficiales;2000;3.161.340
España;Cataluña;Aguas subterráneas;2018;215.018
España;Cataluña;Aguas subterráneas;2016;210.800
España;Cataluña;Aguas subterráneas;2015;236.150
España;Cataluña;Aguas subterráneas;2014;240.866
España;Cataluña;Aguas subterráneas;2013;172.584
España;Cataluña;Aguas subterráneas;2012;190.184
España;Cataluña;Aguas subterráneas;2011;109.530
España;Cataluña;Aguas subterráneas;2010;31.241
España;Cataluña;Aguas subterráneas;2009;18.200
