fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo,ts_20,ts_10,ts_50
1988-10,3260B,23.0(16),8,68,0,2,6.2,963.9(20),2,1015.4,956.0,10.5,29.9(04),14.2,0,0,3,05/16.1(16),2,20,56,0,8,5.9(21),237,126,0,0,921,54.9,10,3,8,0,14.8,0,16.4,22.3,0,944.3(14),6,,,,
1988-11,3260B,11.8(30),15,76,0,10,4.1,967.5(28),0,1019.2,958.4,6.1,20.3(04),13.3,0,2,5,12/13.9(24),2,10,41,0,12,-3.8(24),234,105,0,4,377,40.5,12,1,7,6,7.7,0,10.7,15.3,0,944.8(30),7,,,,
1988-12,3260B,0.3(01),1,70,0,5,7.2,975.8(30),1,1028.5,965.9,-0.7,15.5(20),6.4,0,2,17,30/16.1(01),0,13,76,0,1,-4.4(15),178,65,0,0,,0.3,1,0,5,25,7.0,0,5.7,12.1,0,941.6(01),0,,,,
1988-13,3260B,32.5(11/may),99,63,0,33,7.5,975.8(30/dic),40,1017.0,957.3,9.1,40.4(02/ago),23.0,70,35,97,30/28.1(06/ene),13,170,61,2,91,-4.5(27/feb),261,114,1,8,,403.1,102,23,10,49,6.5,0,15.2,21.2,1,939.4(03/abr),59,,,,
1988-1,3260B,10.6(17),20,82,0,8,3.7,972.7(08),7,1019.7,958.4,4.8,15.8(29),12.2,0,0,2,30/28.1(06),1,9,38,2,15,-1.0(10),306,92,0,3,492,33.6,18,0,11,3,9.8,0,8.6,12.4,0,946.7(29),8,,,,
1988-2,3260B,16.3(16),8,69,0,3,6.3,966.7(07),9,1020.8,959.3,2.6,18.6(14),9.1,0,1,7,30/23.1(06),1,14,58,0,5,-4.5(27),337,75,0,1,753,21.3,7,0,13,9,6.5,0,7.9,13.1,0,949.0(06),3,,,,
1988-3,3260B,2.3(04),8,54,0,1,8.3,970.3(24),8,1020.5,959.8,4.3,26.0(25),9.3,0,0,8,30/20.6(29),0,15,69,0,3,-2.4(01),279,74,0,0,1276,3.4,3,0,10,6,9.3,0,11.4,18.5,0,945.1(04),2,,,,
1988-4,3260B,12.0(11),16,67,0,3,6.4,961.6(13),5,1012.8,952.9,8.2,25.0(15),14.7,0,0,0,27/21.1(22),1,14,48,0,15,3.2(04),269,103,0,0,813,55.3,16,2,11,0,8.1,0,13.2,18.1,0,939.4(03),11,,,,
1988-5,3260B,32.5(11),8,63,0,0,7.7,960.7(20),1,1012.3,953.1,11.0,28.0(31),14.0,0,0,0,30/16.4(26),2,23,53,0,12,7.0(03),268,119,1,0,1053,88.1,13,5,10,0,14.9,0,16.2,21.4,0,943.5(12),9,,,,
1988-6,3260B,27.2(17),11,61,0,1,6.9,959.9(05),3,1012.2,953.6,13.1,32.8(02),17.5,3,0,2,24/20.0(23),4,17,46,0,17,8.5(07),256,136,0,0,1044,103.0,18,10,10,0,18.2,0,18.8,24.4,0,945.5(08),11,,,,
1988-7,3260B,1.6(04),1,50,0,0,11.9,963.5(07),2,1014.0,956.6,17.3,38.8(28),22.6,22,30,16,30/16.9(02),0,14,81,0,3,10.0(05),276,164,0,0,2074,2.7,3,1,12,0,20.2,0,24.7,32.1,1,945.2(04),2,,,,
1988-8,3260B,0.0(--),0,45,0,0,12.1,961.6(22),1,1012.1,955.0,17.7,40.4(02),23.0,29,0,21,28/20.6(02),0,10,88,0,0,12.4(21),232,163,0,0,2356,0.0,0,1,9,0,28.9,0,26.0,34.2,0,948.5(02),0,,,,
1988-9,3260B,0.0(--),3,50,0,0,9.0,967.3(26),1,1017.0,958.8,13.9,40.3(07),22.5,16,0,16,32/21.4(09),0,11,72,0,0,6.9(15),263,140,0,0,1831,0.0,1,0,10,0,21.8,0,22.3,30.7,0,949.8(13),0,,,,
1989-10,3260B,4.5(15),6,64,0,0,7.1,969.2(30),1,1019.3,959.9,11.0,30.0(07),15.2,1,0,8,12/15.6(23),0,17,64,0,5,6.5(21),306,126,0,0,1028,13.9,5,0,10,0,18.5,0,17.4,23.8,0,949.5(27),4,,,,
1989-11,3260B,12.1(26),12,79,0,1,3.4,965.1(04),6,1013.2,953.2,9.1,25.6(01),13.0,0,0,0,12/23.9(14),3,18,33,0,16,2.4(04),356,118,0,1,633,77.2,17,1,13,0,11.5,0,13.0,16.9,0,939.9(22),11,,,,
1989-12,3260B,25.2(25),19,83,0,5,2.1,969.0(23),9,1014.7,954.1,7.9,18.2(17),13.7,0,0,1,22/24.4(16),2,11,22,0,22,1.2(24),354,110,0,2,429,93.9,23,0,14,0,7.8,0,10.8,13.7,0,936.5(18),14,,,,
1989-13,3260B,25.8(27/may),98,59,2,18,7.4,981.1(12/feb),46,1016.7,957.3,10.3,41.0(19/jul),24.4,95,3,80,28/38.3(25/feb),10,187,58,3,90,-5.8(03/ene),294,109,0,8,14880,381.3,103,26,11,29,7.8,0,16.5,22.7,0,931.9(25/feb),63,,,,
1989-1,3260B,5.4(06),6,74,0,7,5.5,978.9(05),0,1030.8,968.1,-0.6,15.4(14),4.7,0,3,10,34/14.4(06),0,15,57,0,3,-5.8(03),190,69,0,3,339,6.5,3,0,6,19,8.0,0,5.7,11.9,0,953.9(06),1,,,,
1989-2,3260B,3.6(08),11,65,0,2,5.9,981.1(12),7,1024.3,962.6,2.6,20.0(18),9.0,0,0,5,28/38.3(25),0,12,55,2,6,-3.3(06),341,73,0,0,717,10.8,10,1,12,10,9.9,0,8.5,14.5,0,931.9(25),4,,,,
1989-3,3260B,6.6(28),9,55,1,0,7.2,967.1(22),5,1017.9,957.6,5.8,25.7(25),12.0,0,0,4,30/18.6(01),0,18,60,0,4,2.9(09),275,80,0,0,1023,12.9,6,0,10,0,11.6,0,12.7,19.7,0,946.9(17),3,,,,
1989-4,3260B,20.6(25),14,62,1,1,7.0,963.4(28),8,1012.0,951.9,6.3,22.5(29),10.0,0,0,0,28/23.9(12),2,16,52,0,12,1.0(17),375,85,0,0,837,59.9,13,0,15,0,9.8,0,11.6,16.8,0,934.5(03),9,,,,
1989-5,3260B,25.8(27),9,53,0,1,8.8,965.0(16),2,1014.4,955.7,11.8,31.0(20),15.4,5,0,7,24/16.9(21),2,15,61,0,9,5.4(01),287,116,0,1,1452,53.6,10,8,10,0,17.3,0,18.7,25.5,0,949.2(23),6,,,,
1989-6,3260B,1.6(18),3,42,0,0,10.9,961.1(20),2,1013.7,956.0,15.5,38.2(30),19.7,20,0,7,04/22.5(14),0,20,73,0,3,9.3(04),262,124,0,0,1913,3.2,5,6,11,0,22.0,0,23.2,30.9,0,952.1(30),2,,,,
1989-7,3260B,8.7(29),1,35,0,0,12.0,962.0(25),4,1013.9,957.1,19.9,41.0(19),24.4,31,0,20,30/25.0(20),0,10,82,0,2,17.0(04),284,135,0,0,2687,12.1,2,4,11,0,30.8,0,28.1,36.4,0,950.0(03),2,,,,
1989-8,3260B,8.9(09),4,37,0,0,10.4,961.2(22),1,1011.6,954.7,19.9,40.8(01),24.2,29,0,13,30/29.2(09),0,14,76,1,2,15.6(31),257,135,0,0,2519,10.0,3,4,11,0,27.2,0,27.3,34.6,0,947.1(06),2,,,,
1989-9,3260B,16.6(07),4,54,0,1,8.0,961.5(15),1,1014.6,956.3,14.6,32.7(15),17.5,9,0,5,16/18.9(04),1,21,64,0,6,11.5(30),246,133,0,1,1303,27.3,6,2,9,0,19.5,0,21.1,27.5,0,949.6(09),5,,,,
1990-10,3260B,15.0(18),13,71,0,2,5.3,965.0(05),6,1014.2,954.8,11.0,28.4(02),17.5,0,0,3,30/20.0(18),2,15,47,0,13,4.8(09),302,130,0,0,886,51.3,15,0,11,0,15.6,0,16.0,21.0,0,944.5(18),11,35028,,,
1990-11,3260B,15.8(24),6,78,0,11,6.4,970.4(15),2,1018.3,957.3,4.6,23.1(16),13.3,0,0,7,30/25.0(24),1,17,64,0,6,-0.9(30),201,97,0,6,422,39.5,6,0,8,2,8.8,0,10.1,15.5,1,939.4(25),4,28151,,,
1990-12,3260B,8.4(08),9,81,0,7,3.7,967.8(30),2,1021.5,959.3,1.0,13.5(01),8.9,0,1,4,35/19.4(11),0,18,40,0,5,-6.5(16),227,75,0,2,361,11.5,6,0,8,15,6.6,0,5.6,10.1,0,942.2(08),2,20027,,,
1990-13,3260B,23.6(08/sep),79,60,1,41,7.7,976.7(10/mar),34,1018.4,958.8,9.8,41.3(21/jul),24.0,102,5,74,30/25.0(24/nov),5,212,61,0,72,-6.5(16/dic),274,112,0,15,,233.3,84,13,11,31,6.6,1,16.1,22.3,1,938.9(06/abr),46,614347,,,
1990-1,3260B,9.2(27),12,81,0,11,4.5,975.8(21),4,1026.9,964.6,1.5,14.5(25),9.1,0,3,5,28/17.5(26),0,14,47,0,10,-3.6(22),184,80,0,3,,23.1,13,0,7,12,7.0,0,6.4,11.2,0,945.8(27),5,23501,,,
1990-2,3260B,0.3(06),4,73,0,8,6.8,973.8(23),2,1025.1,964.0,4.6,22.2(24),7.9,0,1,6,28/21.9(11),0,18,63,0,1,0.7(01),258,97,0,3,553,0.3,2,1,10,0,11.8,0,11.0,17.3,0,955.4(16),0,34432,,,
1990-3,3260B,3.8(31),7,56,1,1,6.9,976.7(10),6,1026.4,965.4,5.4,27.1(21),10.5,0,0,6,14/21.1(04),0,18,57,0,7,-0.5(03),386,80,0,1,1107,11.9,6,0,14,1,9.2,1,11.6,17.8,0,957.0(30),4,48192,,,
1990-4,3260B,8.5(05),10,61,0,1,6.7,967.8(18),3,1015.7,955.4,5.9,21.5(27),10.1,0,0,2,28/20.0(06),0,18,50,0,15,0.0(10),332,86,0,0,964,35.8,15,2,14,1,12.5,0,11.6,17.3,0,938.9(06),11,53381,,,
1990-5,3260B,4.2(12),5,47,0,0,9.5,964.2(28),4,1015.5,956.7,11.2,32.2(31),16.8,4,0,2,28/18.1(12),0,24,66,0,5,6.0(04),293,104,0,0,1601,10.1,8,3,12,0,17.0,0,18.3,25.4,0,949.2(11),3,76334,,,
1990-6,3260B,0.0(--),2,37,0,0,12.1,960.7(25),0,1012.6,955.1,17.1,37.5(24),22.5,23,0,12,28/13.9(04),0,16,81,0,0,12.1(06),321,118,0,0,2407,0.0,0,0,15,0,27.3,0,24.4,31.8,0,948.7(04),0,87092,,,
1990-7,3260B,3.0(28),1,40,0,0,11.7,963.7(29),3,1013.9,957.1,19.4,41.3(21),24.0,30,0,15,02/18.1(21),0,15,80,0,4,12.7(29),289,160,0,0,2750,5.9,5,1,10,0,24.6,0,27.7,35.8,0,951.4(13),2,83208,,,
1990-8,3260B,1.2(21),1,43,0,0,10.5,963.9(04),1,1015.1,958.1,19.5,39.4(01),22.8,30,0,9,10/16.4(02),0,21,76,0,3,13.8(31),261,162,0,0,2434,2.3,3,3,10,0,28.6,0,27.2,35.0,0,952.1(06),1,72446,,,
1990-9,3260B,23.6(08),9,56,0,0,7.8,965.6(28),1,1015.2,957.4,16.7,36.0(06),19.8,15,0,3,02/18.9(16),2,18,62,0,3,12.4(01),238,160,0,0,1503,41.6,5,3,9,0,24.0,0,23.3,29.9,0,951.0(08),3,52555,,,
1991-10,3260B,13.6(10),7,74,0,4,5.7,966.6(02),0,1016.8,956.7,8.2,28.5(05),12.7,0,0,8,30/14.4(11),2,15,50,0,13,0.9(22),230,113,0,1,801,52.9,15,1,8,0,10.7,0,13.4,18.5,0,942.7(10),7,35306,,,
1991-11,3260B,4.4(30),5,75,0,5,5.6,972.2(07),2,1020.4,959.3,4.0,22.9(01),12.5,0,0,6,28/19.4(15),0,19,56,0,6,-3.8(24),258,95,0,4,715,8.0,7,0,9,4,10.3,0,9.8,15.6,0,950.0(30),2,25429,,,
1991-12,3260B,16.8(14),11,85,0,12,3.4,975.0(18),0,1028.2,965.9,1.9,16.1(23),7.0,0,1,7,12/14.4(13),1,13,37,0,9,-3.6(28),211,84,0,5,270,27.3,7,0,7,10,4.5,0,6.6,11.2,1,949.9(01),4,18529,,,
1991-13,3260B,26.9(20/jul),81,62,1,31,7.7,975.0(18/dic),23,1017.6,958.0,9.1,41.8(06/ago),25.9,99,2,90,35/24.4(08/may),8,193,61,0,84,-5.0(15/ene),265,112,0,12,15996,270.7,97,13,10,34,3.0,1,15.4,21.6,3,921.6(07/mar),44,,,,
1991-1,3260B,3.4(07),15,79,0,6,3.6,971.5(21),1,1026.7,964.3,1.1,16.5(10),9.4,0,1,4,10/18.6(20),0,12,37,0,8,-5.0(15),175,75,0,1,347,8.5,8,0,6,14,3.0,1,5.7,10.3,2,955.1(14),3,21283,,,
1991-2,3260B,19.5(16),12,77,0,2,5.4,969.8(23),3,1018.3,956.7,1.9,18.4(24),7.2,0,0,4,28/17.5(07),2,12,50,0,13,-4.7(13),252,77,0,1,387,58.5,13,0,10,5,5.2,0,6.6,11.3,0,939.6(19),8,27220,,,
1991-3,3260B,9.4(12),12,71,0,1,4.9,969.1(19),4,1012.0,951.8,6.5,23.4(20),9.5,0,0,0,32/18.9(17),0,19,41,0,13,1.8(24),309,97,0,0,710,30.2,15,0,12,0,9.8,0,11.3,16.1,0,921.6(07),6,41798,,,
1991-4,3260B,5.9(14),7,54,0,1,9.2,964.7(06),4,1016.5,956.4,5.5,27.8(30),9.7,0,0,6,30/19.4(04),0,17,69,0,6,0.6(21),312,81,0,0,1141,11.2,8,0,12,0,12.2,0,12.3,19.2,0,946.0(17),3,65351,,,
1991-5,3260B,2.7(29),4,42,0,0,11.1,972.5(22),2,1017.0,957.8,8.6,31.4(24),16.2,7,0,11,35/24.4(08),0,16,77,0,2,-0.3(06),333,85,0,0,1851,2.8,5,1,13,1,15.7,0,16.5,24.3,0,947.7(08),1,,,,
1991-6,3260B,10.0(15),1,42,0,0,12.2,963.3(23),3,1013.8,956.3,16.3,38.7(25),22.2,18,0,15,35/23.1(15),1,14,81,0,3,10.0(08),328,136,0,0,2398,12.2,4,1,14,0,23.6,0,24.2,31.9,0,949.2(15),2,83277,,,
1991-7,3260B,26.9(20),3,44,1,0,11.4,963.4(08),2,1013.0,956.1,19.2,41.0(18),25.0,26,0,9,24/20.0(20),1,19,77,0,2,13.2(06),281,166,0,0,2732,28.3,3,4,12,0,25.0,0,27.2,35.2,0,946.3(28),2,76968,,,
1991-8,3260B,1.6(17),2,42,0,0,11.7,962.9(10),1,1014.1,957.3,19.7,41.8(06),25.9,29,0,14,28/16.1(17),0,15,85,0,2,12.9(09),258,172,0,0,2954,1.7,2,1,12,0,29.3,0,27.9,36.1,0,951.4(06),1,75321,,,
1991-9,3260B,10.5(04),2,55,0,0,8.5,963.9(17),1,1014.7,956.8,15.9,36.7(18),19.8,19,0,6,30/20.8(28),1,22,68,0,7,9.3(30),232,157,0,0,1690,29.1,10,5,9,0,16.6,0,22.9,29.8,0,940.5(29),5,54409,,,
1992-10,3260B,16.4(18),10,72,0,0,5.6,966.1(24),4,1013.3,953.5,8.9,28.6(01),14.9,0,0,2,36/21.1(04),1,19,50,0,12,2.5(22),283,114,0,0,598,51.8,13,0,11,0,12.5,0,14.0,19.0,0,933.8(16),8,36034,,,
1992-11,3260B,3.8(15),5,79,0,11,6.3,972.9(26),0,1025.4,964.2,5.1,21.5(05),9.5,0,1,8,27/14.7(15),0,17,63,0,4,-0.6(30),174,105,0,8,347,4.5,1,0,7,1,7.7,0,11.0,16.8,0,950.4(15),1,27099,,,
1992-12,3260B,8.5(04),14,81,0,4,3.9,966.6(12),3,1020.2,958.7,3.3,16.0(04),9.2,0,0,6,24/26.7(05),0,11,41,1,10,-4.6(31),280,89,0,3,348,15.5,11,0,10,8,7.8,0,7.6,12.0,0,942.9(04),2,18305,,,
