fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
1988-6,0076,32.0(26),5,74,0,0,8.2,1019.5(02),0,1013.1,1012.5,15.0,27.8(20),19.5,0,0,4,25/15.0(26),1,21,54,0,13,10.8(08),230,183,1,0,729,53.8,17,6,13,0,18.6,0,19.8,24.6,0,1006.2(30),6,
1988-7,0076,0.6(23),0,69,0,0,10.9,1021.2(25),1,1015.8,1015.2,18.1,31.0(21),20.4,1,0,18,23/15.6(02),0,13,74,0,1,14.6(06),226,212,0,0,945,0.6,1,0,14,0,25.4,0,23.1,28.1,0,1003.5(05),0,
1988-8,0076,1.9(21),2,72,0,0,9.0,1018.6(01),0,1014.2,1013.7,18.8,32.4(03),23.4,11,0,12,27/13.1(03),0,17,65,0,1,16.0(21),225,228,0,0,967,1.9,3,0,14,0,24.0,0,23.8,28.8,0,1004.0(03),1,
1988-9,0076,45.2(29),4,73,1,0,8.3,1025.2(25),1,1018.1,1017.5,15.9,30.4(06),19.0,2,0,11,10/18.9(30),4,15,67,0,6,10.2(15),237,191,1,0,813,103.6,5,4,13,0,21.0,0,21.0,26.0,0,1002.3(01),4,
1989-10,0076,5.0(10),2,76,0,1,6.9,1026.3(17),,1019.7,1019.1,12.7,25.8(08),16.0,0,0,8,,0,21,62,,4,10.4(14),,158,0,0,591,8.4,5,0,12,0,19.0,0,17.8,22.9,0,1002.4(08),3,
1989-11,0076,58.0(16),13,77,0,4,3.6,1024.7(10),,1013.7,1013.2,10.5,22.8(01),13.5,0,0,1,,4,16,36,,11,6.0(06),,129,1,0,551,142.6,13,3,13,0,14.4,0,14.4,18.3,0,998.8(22),11,
1989-12,0076,16.4(27),5,77,0,0,3.9,1031.7(02),,1013.8,1013.2,8.8,20.0(17),13.2,0,0,2,,1,24,42,,7,3.0(25),,114,0,0,928,27.9,8,0,14,0,12.8,0,12.4,15.8,0,998.0(18),5,
1989-13,0076,71.2(03/jun),61,74,0,10,6.8,1041.9(12/feb),,1017.0,1016.4,11.8,32.6(22/ago),24.0,18,0,64,,15,240,55,,76,0.8(01/ene),,151,3,0,8612,573.2,102,22,14,0,9.0,0,16.4,21.0,0,976.1(25/feb),60,
1989-1,0076,3.6(06),4,76,0,0,4.9,1037.6(15),0,1029.7,1029.1,3.6,16.0(15),6.4,0,0,13,34/13.3(23),0,14,51,0,2,0.8(01),312,86,0,0,479,4.7,3,0,12,0,9.0,0,8.8,14.0,0,1015.5(06),2,
1989-2,0076,3.6(25),2,71,0,1,6.8,1041.9(12),6,1022.0,1021.3,4.7,20.2(19),8.6,0,0,4,27/23.1(26),0,22,64,0,5,1.6(25),301,91,0,0,629,8.3,8,0,14,0,13.6,0,10.3,15.9,0,976.1(25),3,
1989-3,0076,6.1(30),6,75,0,0,6.0,1024.8(11),6,1016.9,1016.3,7.6,23.0(22),12.0,0,0,1,07/24.4(30),0,24,50,0,6,4.0(13),327,111,0,0,712,32.9,9,2,18,0,13.4,0,12.5,17.4,0,1002.4(16),6,
1989-4,0076,21.8(24),9,68,0,2,6.8,1019.1(30),7,1009.1,1008.5,8.0,21.5(11),12.5,0,0,1,29/21.1(13),2,20,51,0,10,3.8(04),330,106,0,0,877,63.6,12,2,18,0,13.4,0,12.9,17.8,0,991.8(03),6,
1989-5,0076,9.4(13),7,74,0,0,8.6,1024.6(14),6,1016.9,1016.3,12.0,24.5(23),17.8,0,0,9,06/23.9(24),0,15,59,0,4,6.0(01),281,154,0,0,830,14.4,9,2,17,0,17.6,0,16.7,21.5,0,1007.9(31),3,
1989-6,0076,71.2(03),4,76,0,0,10.0,1020.3(11),0,1015.8,1015.2,15.5,28.2(25),20.0,0,0,8,22/15.0(22),3,18,66,0,6,10.4(04),217,196,1,0,718,114.2,7,3,14,0,19.0,0,20.1,24.7,0,1009.8(01),5,
1989-7,0076,1.7(02),1,70,0,0,10.5,1019.5(21),0,1016.7,1016.1,20.1,30.5(27),23.2,5,0,12,07/11.9(06),0,18,71,0,1,17.2(19),231,234,0,0,871,1.7,5,1,13,0,26.6,0,24.4,28.6,0,1011.3(01),1,
1989-8,0076,63.4(30),2,74,0,0,8.4,1020.5(18),,1013.7,1013.2,20.8,32.6(22),24.0,13,0,4,,2,25,61,,9,17.0(31),234,243,1,0,647,95.7,10,7,12,0,24.0,0,25.0,29.3,0,1005.6(05),8,
1989-9,0076,19.8(07),6,75,0,2,5.7,1021.0(20),,1015.6,1015.0,16.7,28.6(01),20.5,0,0,1,,3,23,46,,11,12.6(11),243,193,0,0,779,58.8,13,2,13,0,22.6,0,21.1,25.6,0,1005.4(11),7,
1990-10,0076,77.2(07),8,74,0,0,4.9,1021.0(05),,1011.4,1010.8,14.2,27.6(30),19.0,0,0,4,,7,19,44,,15,10.0(27),,161,2,0,3041,212.0,18,6,15,0,18.0,0,18.4,22.6,0,997.5(29),12,
1990-11,0076,21.3(10),4,76,0,1,5.9,1024.5(12),,1014.4,1013.8,8.7,20.3(19),13.5,0,0,2,,3,24,60,,5,3.2(27),,114,0,0,,61.5,6,0,10,0,10.5,0,12.7,16.7,0,991.6(25),5,
1990-12,0076,13.2(08),3,71,0,2,4.9,1026.0(20),,1016.8,1016.2,3.6,18.4(29),9.0,0,0,9,,1,19,53,,2,0.0(12),,79,0,0,2597,17.8,3,1,13,1,6.5,0,8.1,12.6,0,993.6(09),2,
1990-13,0076,77.2(07/oct),47,71,0,16,6.8,1039.2(04/mar),,1017.2,1016.6,12.4,33.8(03/ago),24.0,22,0,68,,24,250,55,,64,0.0(12/dic),,146,4,3,,684.2,84,18,13,1,6.5,0,16.7,20.9,0,991.6(25/nov),56,
1990-1,0076,8.4(03),3,72,0,0,5.4,1034.2(08),,1023.4,1022.8,5.5,19.0(25),11.6,0,0,7,,0,21,56,,4,1.8(23),,90,0,0,2354,17.4,6,0,14,0,10.8,0,10.0,14.6,0,1004.1(28),4,
1990-2,0076,0.0(--),2,72,0,5,5.2,1035.3(23),,1020.9,1020.3,8.7,24.5(27),13.8,0,0,4,,0,22,49,,0,5.7(27),,109,0,2,814,0.0,0,0,15,0,14.0,0,13.1,17.5,0,1001.3(14),0,
1990-3,0076,6.7(02),6,69,0,2,7.0,1039.2(04),,1026.1,1025.5,8.0,22.6(21),12.8,0,0,8,,0,17,58,,4,1.6(03),,104,0,0,958,18.4,7,0,13,0,13.6,0,12.6,17.1,0,1012.9(27),4,
1990-4,0076,24.5(02),2,68,0,1,7.3,1024.4(01),,1013.0,1012.4,9.2,22.5(15),12.4,0,0,3,,3,25,55,,7,5.2(22),,107,0,0,,62.8,8,0,16,0,12.4,0,13.5,17.7,0,997.5(06),5,
1990-5,0076,58.2(23),1,69,0,0,8.7,1025.4(02),,1016.5,1016.0,13.5,26.0(18),18.2,0,0,7,,2,23,60,,3,9.8(01),,151,2,0,1000,110.2,6,0,12,0,20.0,0,18.1,22.6,0,1007.9(12),3,
1990-6,0076,17.2(05),5,72,0,4,7.2,1021.2(25),,1014.5,1013.9,17.3,29.5(25),20.6,0,0,3,,3,22,47,,7,14.4(01),,190,0,0,,44.2,9,0,9,0,20.6,0,21.3,25.2,0,1006.6(05),5,
1990-7,0076,18.0(05),1,67,0,0,10.1,1021.2(07),,1016.2,1015.6,19.9,31.4(24),24.0,9,0,16,,1,14,68,,3,16.5(12),,215,0,0,1712,27.7,4,0,14,0,23.4,0,24.1,28.3,0,1007.9(26),3,
1990-8,0076,23.0(07),5,68,0,0,8.6,1021.6(17),,1017.2,1016.6,21.1,33.8(03),23.6,11,0,4,,2,22,62,,7,17.0(31),,223,0,0,2400,51.6,8,5,13,0,23.0,0,25.3,29.4,0,1011.9(06),6,
1990-9,0076,25.3(07),7,74,0,1,6.1,1023.8(28),,1015.9,1015.3,18.8,30.0(05),22.6,2,0,1,,2,22,49,,7,16.2(27),,210,0,1,1256,60.6,9,6,12,0,20.1,0,22.8,26.8,0,1007.0(23),7,
1991-10,0076,43.3(05),3,,0,0,6.1,1025.2(03),,,1014.5,10.2,25.6(10),19.0,0,0,6,,2,22,54,,9,4.1(22),,,1,0,2192,79.2,11,6,12,0,14.6,0,15.2,20.1,0,1001.3(11),7,
1991-11,0076,32.0(29),6,,0,0,4.7,1030.9(07),,,1016.1,6.7,25.2(04),14.0,0,0,5,,2,19,48,,5,1.4(23),,,1,0,756,73.7,6,2,12,0,9.7,0,11.5,16.1,0,1002.3(15),4,
1991-12,0076,23.2(11),6,,0,0,3.4,1038.6(15),,,1025.4,5.3,18.5(22),11.4,0,0,11,,4,14,37,,7,1.0(29),,,0,0,1090,85.8,8,1,14,0,9.7,0,9.1,12.9,0,1012.6(01),7,
1991-13,0076,45.8(01/mar),56,,0,9,6.8,1038.6(15/dic),,,1016.2,10.5,30.0(21/jul),24.2,2,0,72,,23,237,55,,82,-0.8(15/feb),,,4,0,17342,628.0,99,21,,2,9.5,0,14.9,19.3,0,987.2(24/mar),70,
1991-1,0076,13.2(12),8,71,0,0,3.8,1031.0(19),,1022.9,1022.2,5.5,18.4(10),9.4,0,0,5,,2,18,40,,9,1.8(24),,87,0,0,1610,37.0,10,0,13,0,9.5,0,9.6,13.6,0,1013.0(07),7,
1991-2,0076,24.9(02),7,74,0,1,5.7,1029.2(24),,1015.7,1014.9,5.3,16.5(07),11.0,0,0,4,,3,17,53,,7,-0.8(15),,89,0,0,524,52.6,12,1,15,2,9.8,0,9.4,13.4,0,998.8(17),6,
1991-3,0076,45.8(01),9,,0,4,5.7,1026.2(19),,,1010.1,7.8,19.8(09),10.5,0,0,1,,4,21,47,,7,3.4(16),,,1,0,1474,112.9,8,0,14,0,11.8,0,11.8,15.8,0,987.2(24),7,
1991-4,0076,16.8(17),6,,0,1,7.8,1025.8(10),,,1014.4,7.1,20.7(06),13.0,0,0,5,,1,19,58,,11,2.4(21),,,0,0,2189,34.9,12,2,18,0,13.4,0,11.9,16.6,0,998.2(17),8,
1991-5,0076,6.0(17),6,,0,1,8.2,1031.5(21),,,1015.9,8.2,22.3(24),11.4,0,0,8,,0,17,56,,7,4.2(03),,,0,0,886,19.5,6,0,,0,10.5,0,13.0,17.7,0,1001.7(09),7,
1991-6,0076,4.8(16),1,,0,1,9.2,1023.6(30),,,1015.7,14.8,27.9(13),19.0,0,0,9,,0,20,61,,6,11.5(19),,,0,0,1624,14.0,6,0,14,0,17.9,0,18.9,23.0,0,999.9(07),5,
1991-7,0076,15.6(29),1,,0,1,9.8,1023.0(01),,,1014.6,17.9,30.0(21),21.1,1,0,7,,1,23,66,,4,12.8(04),,,0,0,1861,19.4,6,0,15,0,23.3,0,22.7,27.5,0,1005.0(29),3,
1991-8,0076,25.2(09),2,,0,0,9.6,1020.3(10),,,1015.6,19.6,29.7(04),24.2,0,0,6,,2,23,70,,5,14.7(09),,,0,0,979,43.2,6,4,12,0,24.9,0,23.8,28.0,0,1010.3(08),4,
1991-9,0076,33.2(04),1,,0,0,8.1,1022.6(02),,,1014.8,17.5,30.0(10),21.6,1,0,5,,2,24,65,,5,10.2(27),,,1,0,2157,55.8,8,5,11,0,19.1,0,22.1,26.5,0,997.2(29),5,
1992-10,0076,48.4(31),5,,0,0,4.3,1021.5(24),,,1008.9,10.7,24.6(01),15.9,0,0,0,,2,26,39,,15,5.1(18),,,1,0,820,115.0,18,4,13,0,14.1,0,15.0,19.3,0,991.0(17),14,
1992-11,0076,0.0(--),1,,0,2,5.5,1031.2(06),,,1020.0,8.0,20.9(26),10.8,0,0,11,,0,18,56,,0,4.2(18),,,0,0,660,0.0,2,0,10,0,13.3,0,12.9,17.7,0,1005.0(15),0,
1992-12,0076,2.4(24),7,,0,0,3.3,1026.9(27),5,,1016.2,5.8,18.1(03),11.2,0,0,7,28/20.0(05),0,17,36,0,6,-0.7(30),,,0,1,663,7.1,11,0,16,1,9.3,0,9.7,13.6,0,995.0(05),4,
1992-13,0076,51.0(01/jun),48,,0,4,6.5,1038.6(02/ene),,,1016.7,10.4,31.6(03/ago),22.0,3,0,83,,14,234,53,,78,-1.6(21/feb),,,4,1,9826,534.7,104,26,13,4,5.0,0,14.8,19.1,0,988.7(31/mar),60,
1992-1,0076,26.8(21),4,,0,0,4.4,1038.6(02),,,1024.6,2.4,15.0(26),8.1,0,0,12,,2,15,46,,7,0.1(06),,,0,0,666,64.5,8,3,14,0,5.0,0,7.0,11.6,0,1011.2(09),6,
1992-2,0076,6.6(25),5,,0,0,4.9,1032.5(23),,,1024.7,3.6,16.7(06),7.5,0,0,10,,0,14,47,,3,-1.6(21),,,0,0,653,9.4,6,0,12,3,8.4,0,8.5,13.3,0,1013.5(13),2,
1992-3,0076,13.4(08),6,,0,0,5.5,1033.2(10),,,1017.3,6.0,20.3(23),9.7,0,0,2,,1,23,46,,6,2.3(26),,,0,0,770,22.4,9,1,14,0,11.8,0,10.8,15.4,0,988.7(31),5,
